athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Lindsay Benko",27,"United States",2004,Swimming,1,1,0,2
"Gary Hall Jr.",29,"United States",2004,Swimming,1,0,1,2
"Brooke Hanson",26,Australia,2004,Swimming,1,1,0,2
"Kara Lynn Joyce",18,"United States",2004,Swimming,0,2,0,2
"Klete Keller",22,"United States",2004,Swimming,1,0,1,2
"Yana Klochkova",22,Ukraine,2004,Swimming,2,0,0,2
"Rachel Komisarz",27,"United States",2004,Swimming,1,1,0,2
"Libby Lenton-Trickett",19,Australia,2004,Swimming,1,0,1,2
"Jason Lezak",28,"United States",2004,Swimming,1,0,1,2
"Ryan Lochte",20,"United States",2004,Swimming,1,1,0,2
"Alice Mills",18,Australia,2004,Swimming,2,0,0,2
"Tomomi Morita",19,Japan,2004,Swimming,0,0,2,2
"Markus Rogan",22,Austria,2004,Swimming,0,2,0,2
"Jenny Thompson",31,"United States",2004,Swimming,0,2,0,2
"Franziska van Almsick",26,Germany,2004,Swimming,0,0,2,2
"Neil Walker",28,"United States",2004,Swimming,1,0,1,2
"Amanda Weir",18,"United States",2004,Swimming,0,2,0,2
"Takashi Yamamoto",26,Japan,2004,Swimming,0,1,1,2
"Lyubov Galkina",31,Russia,2004,Shooting,1,1,0,2
"Mariya Grozdeva",32,Bulgaria,2004,Shooting,1,0,1,2
"Lee Bo-Na",23,"South Korea",2004,Shooting,0,1,1,2
"Mikhail Nestruyev",35,Russia,2004,Shooting,1,1,0,2
"Georgeta Damian-Andrunache",28,Romania,2004,Rowing,2,0,0,2
"Viorica Susanu",28,Romania,2004,Rowing,2,0,0,2
"Alexandra Eremia",17,Romania,2004,Gymnastics,1,0,1,2
"Annia Hatch",26,"United States",2004,Gymnastics,0,2,0,2
"Terin Humphrey",18,"United States",2004,Gymnastics,0,2,0,2
"Takehiro Kashima",24,Japan,2004,Gymnastics,1,0,1,2
"Svetlana Khorkina",25,Russia,2004,Gymnastics,0,1,1,2
"Courtney Kupets",18,"United States",2004,Gymnastics,0,1,1,2
"Anna Pavlova",16,Russia,2004,Gymnastics,0,0,2,2
"Monica Rosu",17,Romania,2004,Gymnastics,2,0,0,2
"Dana Sofronie",16,Romania,2004,Gymnastics,1,1,0,2
"Hiroyuki Tomita",23,Japan,2004,Gymnastics,1,1,0,2
"Marius Urzica",28,Romania,2004,Gymnastics,0,1,1,2
"Isao Yoneda",26,Japan,2004,Gymnastics,1,0,1,2
"Yordan Yovchev",31,Bulgaria,2004,Gymnastics,0,1,1,2
"Andrea Cassarà",20,Italy,2004,Fencing,1,0,1,2
"Laura Flessel-Colovic",32,France,2004,Fencing,0,1,1,2
"Aldo Montano",25,Italy,2004,Fencing,1,1,0,2
"Maureen Nisima",23,France,2004,Fencing,0,0,2,2
"Salvatore Sanzo",28,Italy,2004,Fencing,1,1,0,2
"Beatriz Ferrer-Salat",38,Spain,2004,Equestrian,0,1,1,2
"Pippa Funnell",35,"Great Britain",2004,Equestrian,0,1,1,2
"Chris Kappler",37,"United States",2004,Equestrian,1,1,0,2
"Marco Kutscher",29,Germany,2004,Equestrian,0,0,2,2
"Leslie Law",39,"Great Britain",2004,Equestrian,1,1,0,2
"Ulla Salzgeber",46,Germany,2004,Equestrian,1,1,0,2
"Kim Severson",30,"United States",2004,Equestrian,0,1,1,2
"Guo Jingjing",22,China,2004,Diving,2,0,0,2
"Mathew Helm",23,Australia,2004,Diving,0,1,1,2
"Lao Lishi",16,China,2004,Diving,1,1,0,2
"Chantelle Michell-Newbery",27,Australia,2004,Diving,1,0,1,2
"Robert Newbery",25,Australia,2004,Diving,0,0,2,2
"Yuliya Pakhalina",26,Russia,2004,Diving,0,1,1,2
"Tian Liang",24,China,2004,Diving,1,0,1,2
"Wu Minxia",18,China,2004,Diving,1,1,0,2
"Ryan Bayley",22,Australia,2004,Cycling,2,0,0,2
"Graeme Brown",25,Australia,2004,Cycling,2,0,0,2
"Sergi Escobar",29,Spain,2004,Cycling,0,0,2,2
"Rob Hayles",31,"Great Britain",2004,Cycling,0,1,1,2
"Brad McGee",28,Australia,2004,Cycling,1,1,0,2
"Anna Meares",20,Australia,2004,Cycling,1,0,1,2
"Stefan Nimke",26,Germany,2004,Cycling,1,0,1,2
"Olga Slyusareva",35,Russia,2004,Cycling,1,0,1,2
"Arnaud Tournant",26,France,2004,Cycling,0,1,1,2
"René Wolff",26,Germany,2004,Cycling,1,0,1,2
"Leontien Zijlaard-van Moorsel",34,Netherlands,2004,Cycling,1,0,1,2
"Nathan Baggaley",28,Australia,2004,Canoeing,0,2,0,2
"David Cal",21,Spain,2004,Canoeing,1,1,0,2
"Andreas Dittmer",32,Germany,2004,Canoeing,1,1,0,2
"Natasa Douchev-Janics",22,Hungary,2004,Canoeing,2,0,0,2
"Birgit Fischer-Schmidt",42,Germany,2004,Canoeing,1,1,0,2
"Aleksandr Kostoglod",30,Russia,2004,Canoeing,0,1,1,2
"Katalin Kovács",28,Hungary,2004,Canoeing,1,1,0,2
"Aleksandr Kovalyov",29,Russia,2004,Canoeing,0,1,1,2
"Eirik Verås Larsen",28,Norway,2004,Canoeing,1,0,1,2
"Carolin Leonhardt",19,Germany,2004,Canoeing,1,1,0,2
"Adam Van Koeverden",22,Canada,2004,Canoeing,1,0,1,2
"Gao Ling",25,China,2004,Badminton,1,1,0,2
"Nataliya Antyukh",23,Russia,2004,Athletics,0,1,1,2
"Kenenisa Bekele",22,Ethiopia,2004,Athletics,1,1,0,2
"Derrick Brew",26,"United States",2004,Athletics,1,0,1,2
"Shawn Crawford",26,"United States",2004,Athletics,1,1,0,2
"Hicham El Guerrouj",29,Morocco,2004,Athletics,2,0,0,2
"Maurice Greene",30,"United States",2004,Athletics,0,1,1,2
"Otis Harris",22,"United States",2004,Athletics,1,1,0,2
"Kelly Holmes",34,"Great Britain",2004,Athletics,2,0,0,2
"Tatyana Lebedeva",28,Russia,2004,Athletics,1,0,1,2
"Jeremy Wariner",20,"United States",2004,Athletics,2,0,0,2
"Lee Seong-Jin",19,"South Korea",2004,Archery,1,1,0,2
"Park Seong-Hyeon",21,"South Korea",2004,Archery,2,0,0,2
"Stephen Abas",26,"United States",2004,Wrestling,0,1,0,1
"Ara Abrahamian",29,Sweden,2004,Wrestling,0,1,0,1
"Khasan Baroyev",21,Russia,2004,Wrestling,1,0,0,1
"Mavlet Batyrov",20,Russia,2004,Wrestling,1,0,0,1
"Aleksandr Dokturishivili",24,Uzbekistan,2004,Wrestling,1,0,0,1
"Seref Eroglu",28,Turkey,2004,Wrestling,0,1,0,1
"Iván Fundora",28,Cuba,2004,Wrestling,0,0,1,1
"Karam Gaber",24,Egypt,2004,Wrestling,1,0,0,1
"Rulon Gardner",33,"United States",2004,Wrestling,0,0,1,1
"Khadzhimurat Gatsalov",21,Russia,2004,Wrestling,1,0,0,1
"Lise Golliot-Legrand",27,France,2004,Wrestling,0,0,1,1
"Anna Gomis",30,France,2004,Wrestling,0,0,1,1
"Kyoko Hamaguchi",26,Japan,2004,Wrestling,0,0,1,1
"Ali Reza Heidari",28,Iran,2004,Wrestling,0,0,1,1
"Magamed Ibragimov",21,Uzbekistan,2004,Wrestling,0,1,0,1
"Chiharu Icho",22,Japan,2004,Wrestling,0,1,0,1
"Kaori Icho",20,Japan,2004,Wrestling,1,0,0,1
"Kenji Inoue",27,Japan,2004,Wrestling,0,0,1,1
"Jeong Ji-Hyeon",21,"South Korea",2004,Wrestling,1,0,0,1
"Jamill Kelly",26,"United States",2004,Wrestling,0,1,0,1
"Atryom Kyuregyan",27,Greece,2004,Wrestling,0,0,1,1
"Gennady Laliyev",25,Kazakhstan,2004,Wrestling,0,1,0,1
"István Majoros",30,Hungary,2004,Wrestling,1,0,0,1
"Vyacheslav Makarenko",28,Belarus,2004,Wrestling,0,0,1,1
"Gaydar Mamedaliyev",30,Russia,2004,Wrestling,0,1,0,1
"Mkhitar Manukyan",31,Kazakhstan,2004,Wrestling,0,0,1,1
"Gyuzel Manyurova",26,Russia,2004,Wrestling,0,1,0,1
"Sara McMann",23,"United States",2004,Wrestling,0,1,0,1
"Iryna Merleni-Mykulchyn",22,Ukraine,2004,Wrestling,1,0,0,1
"Patricia Miranda",25,"United States",2004,Wrestling,0,0,1,1
"Aleksey Mishin",25,Russia,2004,Wrestling,1,0,0,1
"Roberto Monzón",26,Cuba,2004,Wrestling,0,1,0,1
"Masoud Moustafa Gokar",26,Iran,2004,Wrestling,0,1,0,1
"Mun Ui-Je",29,"South Korea",2004,Wrestling,0,1,0,1
"Makhach Murtazaliyev",20,Russia,2004,Wrestling,0,0,1,1
"F?rid M?nsurov",22,Azerbaijan,2004,Wrestling,1,0,0,1
"Armen Nazaryan",30,Bulgaria,2004,Wrestling,0,0,1,1
"Ramaz Nozadze",20,Georgia,2004,Wrestling,0,1,0,1
"Mehmet Özal",30,Turkey,2004,Wrestling,0,0,1,1
"Aydin Polatçi",27,Turkey,2004,Wrestling,0,0,1,1
"Yandro Quintana",24,Cuba,2004,Wrestling,1,0,0,1
"Ali Reza Rezaei",28,Iran,2004,Wrestling,0,1,0,1
"Varteres Samurgashev",24,Russia,2004,Wrestling,0,0,1,1
"Cael Sanderson",25,"United States",2004,Wrestling,1,0,0,1
"Buvaisa Saytiyev",29,Russia,2004,Wrestling,1,0,0,1
"Sazhid Sazhidov",24,Russia,2004,Wrestling,0,0,1,1
"Chikara Tanabe",29,Japan,2004,Wrestling,0,0,1,1
"Artur Taymazov",25,Uzbekistan,2004,Wrestling,1,0,0,1
"Elbrus Tedieiev",29,Ukraine,2004,Wrestling,1,0,0,1
"Georgy Tsurtsumia",23,Kazakhstan,2004,Wrestling,0,1,0,1
"Tonya Verbeek",27,Canada,2004,Wrestling,0,1,0,1
"Wang Xu",18,China,2004,Wrestling,1,0,0,1
"Marko Yli-Hannuksela",30,Finland,2004,Wrestling,0,1,0,1
"Saori Yoshida",21,Japan,2004,Wrestling,1,0,0,1
"Khadzhimurat Akkayev",19,Russia,2004,Weightlifting,0,1,0,1
"Sedat Artuç",28,Turkey,2004,Weightlifting,0,0,1,1
"Giorgi Asanidze",28,Georgia,2004,Weightlifting,1,0,0,1
"Anna Batyushko",22,Belarus,2004,Weightlifting,0,1,0,1
"Dmitry Berestov",24,Russia,2004,Weightlifting,1,0,0,1
"Chen Yanqing",25,China,2004,Weightlifting,1,0,0,1
"Veliçko Çolakov",22,Bulgaria,2004,Weightlifting,0,0,1,1
"Pyrros Dimas",32,Greece,2004,Weightlifting,0,0,1,1
"Milen Dobrev",24,Bulgaria,2004,Weightlifting,1,0,0,1
"Sergey Filimonov",29,Kazakhstan,2004,Weightlifting,0,1,0,1
"Jang Mi-Ran",20,"South Korea",2004,Weightlifting,0,1,0,1
"Wandee Kameaim",26,Thailand,2004,Weightlifting,0,0,1,1
"Zarema Kasayeva",17,Russia,2004,Weightlifting,0,0,1,1
"Eszter Krutzler",23,Hungary,2004,Weightlifting,0,1,0,1
"Le Maosheng",26,China,2004,Weightlifting,0,1,0,1
"Lee Bae-Yeong",24,"South Korea",2004,Weightlifting,0,1,0,1
"Li Zhuo",22,China,2004,Weightlifting,0,1,0,1
"Liu Chunhong",21,China,2004,Weightlifting,1,0,0,1
"Mabel Mosquera",35,Colombia,2004,Weightlifting,0,0,1,1
"Halil Mutlu",31,Turkey,2004,Weightlifting,1,0,0,1
"Oleg Perepechonov",28,Russia,2004,Weightlifting,0,0,1,1
"Nikolay Peshalov",34,Croatia,2004,Weightlifting,0,0,1,1
"Gleb Pisarevsky",28,Russia,2004,Weightlifting,0,0,1,1
"Udomporn Polsak",22,Thailand,2004,Weightlifting,1,0,0,1
"Valentina Popova",31,Russia,2004,Weightlifting,0,0,1,1
"Ihor Razoronov",34,Ukraine,2004,Weightlifting,0,1,0,1
"Hossein Reza Zadeh",26,Iran,2004,Weightlifting,1,0,0,1
"Ri Song-Hui",25,"North Korea",2004,Weightlifting,0,1,0,1
"Israel José Rubio",23,Venezuela,2004,Weightlifting,0,0,1,1
"Raema Lisa Rumbewas",23,Indonesia,2004,Weightlifting,0,1,0,1
"Andrey Rybakov",22,Belarus,2004,Weightlifting,0,1,0,1
"Taner Sagir",19,Turkey,2004,Weightlifting,1,0,0,1
"Viktors Šcerbatihs",29,Latvia,2004,Weightlifting,0,1,0,1
"Shi Zhiyong",24,China,2004,Weightlifting,1,0,0,1
"Nataliya Skakun",23,Ukraine,2004,Weightlifting,1,0,0,1
"Tatyana Stukalova",28,Belarus,2004,Weightlifting,0,0,1,1
"Tang Gonghong",25,China,2004,Weightlifting,1,0,0,1
"Nurcan Taylan",20,Turkey,2004,Weightlifting,1,0,0,1
"Pawina Thongsuk",25,Thailand,2004,Weightlifting,1,0,0,1
"Eduard Tyukin",26,Russia,2004,Weightlifting,0,0,1,1
"Aree Wiratthaworn",24,Thailand,2004,Weightlifting,0,0,1,1
"Agata Wróbel",22,Poland,2004,Weightlifting,0,0,1,1
"Wu Meijin",24,China,2004,Weightlifting,0,1,0,1
"Nataliya Zabolotnaya",19,Russia,2004,Weightlifting,0,1,0,1
"Zhang Guozheng",29,China,2004,Weightlifting,1,0,0,1
"Carmela Allucci",34,Italy,2004,Waterpolo,1,0,0,1
"Alexandra Araujo",32,Italy,2004,Waterpolo,1,0,0,1
"Dimitra Asilian",32,Greece,2004,Waterpolo,0,1,0,1
"Roman Balashov",27,Russia,2004,Waterpolo,0,0,1,1
"Robin Beauregard",25,"United States",2004,Waterpolo,0,0,1,1
"Tibor Benedek",32,Hungary,2004,Waterpolo,1,0,0,1
"Péter Biros",28,Hungary,2004,Waterpolo,1,0,0,1
"Silvia Bosurgi",25,Italy,2004,Waterpolo,1,0,0,1
"Revaz Chomakhidze",30,Russia,2004,Waterpolo,0,0,1,1
"Aleksandar Ciric",26,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Francesca Conti",32,Italy,2004,Waterpolo,1,0,0,1
"Tania Di Mario",25,Italy,2004,Waterpolo,1,0,0,1
"Margaret Dingeldein",24,"United States",2004,Waterpolo,0,0,1,1
"Georgia Ellinaki",30,Greece,2004,Waterpolo,0,1,0,1
"Ellen Estes",25,"United States",2004,Waterpolo,0,0,1,1
"Aleksandr Fedorov",23,Russia,2004,Waterpolo,0,0,1,1
"Rajmund Fodor",28,Hungary,2004,Waterpolo,1,0,0,1
"Jacqueline Frank",24,"United States",2004,Waterpolo,0,0,1,1
"Sergey Garbuzov",30,Russia,2004,Waterpolo,0,0,1,1
"István Gergely",27,Hungary,2004,Waterpolo,1,0,0,1
"Elena Gigli",19,Italy,2004,Waterpolo,1,0,0,1
"Vladimir Gojkovic",23,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Natalie Golda",22,"United States",2004,Waterpolo,0,0,1,1
"Dmitry Gorshkov",37,Russia,2004,Waterpolo,0,0,1,1
"Melania Grego",31,Italy,2004,Waterpolo,1,0,0,1
"Danilo Ikodinovic",27,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Viktor Jelenic",33,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Predrag Jokic",21,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Eftykhia Karagianni",30,Greece,2004,Waterpolo,0,1,0,1
"Angeliki Karapataki",29,Greece,2004,Waterpolo,0,1,0,1
"Tamás Kásás",28,Hungary,2004,Waterpolo,1,0,0,1
"Gergo Kiss",26,Hungary,2004,Waterpolo,1,0,0,1
"Nikolay Kozlov",32,Russia,2004,Waterpolo,0,0,1,1
"Voula Kozomboli",30,Greece,2004,Waterpolo,0,1,0,1
"Georgia Lara",24,Greece,2004,Waterpolo,0,1,0,1
"Kiki Liosi",24,Greece,2004,Waterpolo,0,1,0,1
"Ericka Lorenz",23,"United States",2004,Waterpolo,0,0,1,1
"Norbert Madaras",24,Hungary,2004,Waterpolo,1,0,0,1
"Nikolay Maksimov",31,Russia,2004,Waterpolo,0,0,1,1
"Giusi Malato",33,Italy,2004,Waterpolo,1,0,0,1
"Antiopi Melidoni",26,Greece,2004,Waterpolo,0,1,0,1
"Martina Miceli",30,Italy,2004,Waterpolo,1,0,0,1
"Tamás Molnár",29,Hungary,2004,Waterpolo,1,0,0,1
"Heather Moody",30,"United States",2004,Waterpolo,0,0,1,1
"Tonia Moraiti",27,Greece,2004,Waterpolo,0,1,0,1
"Evi Moraitidou",29,Greece,2004,Waterpolo,0,1,0,1
"Thalia Munro",22,"United States",2004,Waterpolo,0,0,1,1
"Maddalena Musumeci",28,Italy,2004,Waterpolo,1,0,0,1
"Anthi Mylonaki",20,Greece,2004,Waterpolo,0,1,0,1
"Slobodan Nikic",21,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Katerina Oikonomopoulou",26,Greece,2004,Waterpolo,0,1,0,1
"Heather Petri",26,"United States",2004,Waterpolo,0,0,1,1
"Cinzia Ragusa",27,Italy,2004,Waterpolo,1,0,0,1
"Andrey Rekechinsky",23,Russia,2004,Waterpolo,0,0,1,1
"Antigoni Roumbesi",21,Greece,2004,Waterpolo,0,1,0,1
"Kelly Rulon",20,"United States",2004,Waterpolo,0,0,1,1
"Aleksandar Šapic",26,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Dejan Savic",29,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Denis Šefik",27,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Amber Stachowski",21,"United States",2004,Waterpolo,0,0,1,1
"Ádám Steinmetz",24,Hungary,2004,Waterpolo,1,0,0,1
"Barnabás Steinmetz",28,Hungary,2004,Waterpolo,1,0,0,1
"Dmitry Stratan",29,Russia,2004,Waterpolo,0,0,1,1
"Zoltán Szécsi",26,Hungary,2004,Waterpolo,1,0,0,1
"Noémi Tóth",28,Italy,2004,Waterpolo,1,0,0,1
"Petar Trbojevic",30,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Vanja Udovicic",21,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Tamás Varga",29,Hungary,2004,Waterpolo,1,0,0,1
"Attila Vári",28,Hungary,2004,Waterpolo,1,0,0,1
"Brenda Villa",24,"United States",2004,Waterpolo,0,0,1,1
"Vlada Vujasinovic",31,"Serbia and Montenegro",2004,Waterpolo,0,1,0,1
"Aleksandr Yeryshov",31,Russia,2004,Waterpolo,0,0,1,1
"Vitaly Yurchik",21,Russia,2004,Waterpolo,0,0,1,1
"Marat Zakirov",30,Russia,2004,Waterpolo,0,0,1,1
"Emanuela Zanchi",26,Italy,2004,Waterpolo,1,0,0,1
"Irek Zinnurov",35,Russia,2004,Waterpolo,0,0,1,1
"Pavel Abramov",25,Russia,2004,Volleyball,0,0,1,1
Anderson,30,Brazil,2004,Volleyball,1,0,0,1
"Yevgeniya Artamonova-Estes",29,Russia,2004,Volleyball,0,1,0,1
"Sergey Baranov",23,Russia,2004,Volleyball,0,0,1,1
"Zoila Barros",28,Cuba,2004,Volleyball,0,0,1,1
"Yelena Batukhtina-Tyurina",33,Russia,2004,Volleyball,0,1,0,1
"Rosir Calderon",19,Cuba,2004,Volleyball,0,0,1,1
"Nancy Carrillo",18,Cuba,2004,Volleyball,0,0,1,1
"Matej Cernic",25,Italy,2004,Volleyball,0,1,0,1
"Chen Jing",28,China,2004,Volleyball,1,0,0,1
"Olga Chukanova",24,Russia,2004,Volleyball,0,1,0,1
"Alberto Cisolla",26,Italy,2004,Volleyball,0,1,0,1
"Paolo Cozzi",24,Italy,2004,Volleyball,0,1,0,1
Dante,23,Brazil,2004,Volleyball,1,0,0,1
"Stanislav Dineykin",30,Russia,2004,Volleyball,0,0,1,1
Escadinha,28,Brazil,2004,Volleyball,1,0,0,1
"Alessandro Fei",25,Italy,2004,Volleyball,0,1,0,1
"Feng Kun",25,China,2004,Volleyball,1,0,0,1
"Ana Ivis Fernández",31,Cuba,2004,Volleyball,0,0,1,1
"Yekaterina Gamova",23,Russia,2004,Volleyball,0,1,0,1
"Andrea Giani",34,Italy,2004,Volleyball,0,1,0,1
Giba,27,Brazil,2004,Volleyball,1,0,0,1
Giovane,33,Brazil,2004,Volleyball,1,0,0,1
Gustavo,28,Brazil,2004,Volleyball,1,0,0,1
"André Heller",28,Brazil,2004,Volleyball,1,0,0,1
"Aleksey Kazakov",28,Russia,2004,Volleyball,0,0,1,1
"Vadim Khamuttskikh",34,Russia,2004,Volleyball,0,0,1,1
"Taras Khtey",22,Russia,2004,Volleyball,0,0,1,1
"Aleksandr Kosaryev",26,Russia,2004,Volleyball,0,0,1,1
"Aleksey Kuleshov",25,Russia,2004,Volleyball,0,0,1,1
"Li Shan",24,China,2004,Volleyball,1,0,0,1
"Liu Yanan",23,China,2004,Volleyball,1,0,0,1
"Mayvelis Martínez",27,Cuba,2004,Volleyball,0,0,1,1
"Luigi Mastrangelo",28,Italy,2004,Volleyball,0,1,0,1
Maurício,36,Brazil,2004,Volleyball,1,0,0,1
"Liana Mesa",26,Cuba,2004,Volleyball,0,0,1,1
"Anniara Muñoz",24,Cuba,2004,Volleyball,0,0,1,1
Nalbert,30,Brazil,2004,Volleyball,1,0,0,1
"André Nascimento",25,Brazil,2004,Volleyball,1,0,0,1
"Olga Nikolayeva",32,Russia,2004,Volleyball,0,1,0,1
"Yaima Ortíz",22,Cuba,2004,Volleyball,0,0,1,1
"Samuele Papi",31,Italy,2004,Volleyball,0,1,0,1
"Damiano Pippi",32,Italy,2004,Volleyball,0,1,0,1
"Yelena Plotnikova",26,Russia,2004,Volleyball,0,1,0,1
"Daimí Ramírez",20,Cuba,2004,Volleyball,0,0,1,1
Ricardinho,28,Brazil,2004,Volleyball,1,0,0,1
Rodrigão,25,Brazil,2004,Volleyball,1,0,0,1
"Yumilka Ruíz",26,Cuba,2004,Volleyball,0,0,1,1
"Marta Sánchez",31,Cuba,2004,Volleyball,0,0,1,1
"Andrea Sartoretti",33,Italy,2004,Volleyball,0,1,0,1
"Marina Sheshenina",19,Russia,2004,Volleyball,0,1,0,1
"Ventzislav Simeonov",27,Italy,2004,Volleyball,0,1,0,1
"Lyubov Sokolova-Shashkova",26,Russia,2004,Volleyball,0,1,0,1
"Song Nina",24,China,2004,Volleyball,1,0,0,1
"Irina Tebenikhina",25,Russia,2004,Volleyball,0,1,0,1
"Dulce Téllez",20,Cuba,2004,Volleyball,0,0,1,1
"Sergey Tetyukhin",28,Russia,2004,Volleyball,0,0,1,1
"Yelizaveta Tishchenko",29,Russia,2004,Volleyball,0,1,0,1
"Paolo Tofoli",38,Italy,2004,Volleyball,0,1,0,1
"Konstantin Ushakov",34,Russia,2004,Volleyball,0,0,1,1
"Aleksey Verbov",22,Russia,2004,Volleyball,0,0,1,1
"Valerio Vermiglio",28,Italy,2004,Volleyball,0,1,0,1
"Wang Lina",26,China,2004,Volleyball,1,0,0,1
"Yang Hao",24,China,2004,Volleyball,1,0,0,1
"Andrey Yegorchev",26,Russia,2004,Volleyball,0,0,1,1
"Zhang Na",24,China,2004,Volleyball,1,0,0,1
"Zhang Ping",22,China,2004,Volleyball,1,0,0,1
"Zhang Yuehong",28,China,2004,Volleyball,1,0,0,1
"Zhao Ruirui",22,China,2004,Volleyball,1,0,0,1
"Zhou Suhong",25,China,2004,Volleyball,1,0,0,1
"Chen Qi",20,China,2004,"Table Tennis",1,0,0,1
"Guo Yue",16,China,2004,"Table Tennis",0,0,1,1
"Kim Gyeong-A",27,"South Korea",2004,"Table Tennis",0,0,1,1
"Kim Hyang-Mi",24,"North Korea",2004,"Table Tennis",0,1,0,1
"Ko Lai Chak",28,"Hong Kong",2004,"Table Tennis",0,1,0,1
"Lee Eun-Sil",27,"South Korea",2004,"Table Tennis",0,1,0,1
"Li Ching",29,"Hong Kong",2004,"Table Tennis",0,1,0,1
"Ma Lin",24,China,2004,"Table Tennis",1,0,0,1
"Michael Maze",22,Denmark,2004,"Table Tennis",0,0,1,1
"Niu Jianfeng",23,China,2004,"Table Tennis",0,0,1,1
"Seog Eun-Mi",27,"South Korea",2004,"Table Tennis",0,1,0,1
"Finn Tugwell",28,Denmark,2004,"Table Tennis",0,0,1,1
"Wang Hao",20,China,2004,"Table Tennis",0,1,0,1
"Wang Liqin",26,China,2004,"Table Tennis",0,0,1,1
"Wang Nan",25,China,2004,"Table Tennis",1,0,0,1
"Yu Seung-Min",22,"South Korea",2004,"Table Tennis",1,0,0,1
"Kate Allen",34,Austria,2004,Triathlon,1,0,0,1
"Hamish Carter",33,"New Zealand",2004,Triathlon,1,0,0,1
"Bevan Docherty",27,"New Zealand",2004,Triathlon,0,1,0,1
"Loretta Harrop",29,Australia,2004,Triathlon,0,1,0,1
"Sven Riederer",23,Switzerland,2004,Triathlon,0,0,1,1
"Susan Williams",35,"United States",2004,Triathlon,0,0,1,1
"Karen Cockburn",24,Canada,2004,Trampoline,0,1,0,1
"Anna Dogonadze-Lilkendey",31,Germany,2004,Trampoline,1,0,0,1
"Huang Shanshan",18,China,2004,Trampoline,0,0,1,1
"Aleksandr Moskalenko",34,Russia,2004,Trampoline,0,1,0,1
"Yuriy Nikitin",26,Ukraine,2004,Trampoline,1,0,0,1
"Henrik Stehlik",23,Germany,2004,Trampoline,0,0,1,1
"Nia Abdallah",20,"United States",2004,Taekwondo,0,1,0,1
