athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Michael Phelps",19,"United States",2004,Swimming,6,0,2,8
"Natalie Coughlin",21,"United States",2004,Swimming,2,2,1,5
"Inge de Bruijn",30,Netherlands,2004,Swimming,1,1,2,4
"Petria Thomas",28,Australia,2004,Swimming,3,1,0,4
"Ian Thorpe",21,Australia,2004,Swimming,2,1,1,4
"Amanda Beard",22,"United States",2004,Swimming,1,2,0,3
"Antje Buschschulte",25,Germany,2004,Swimming,0,0,3,3
"Kirsty Coventry",20,Zimbabwe,2004,Swimming,1,1,1,3
"Ian Crocker",21,"United States",2004,Swimming,1,1,1,3
"Grant Hackett",24,Australia,2004,Swimming,1,2,0,3
"Brendan Hansen",22,"United States",2004,Swimming,1,1,1,3
"Jodie Henry",20,Australia,2004,Swimming,3,0,0,3
"Otylia Jedrzejczak",20,Poland,2004,Swimming,1,2,0,3
"Leisel Jones",18,Australia,2004,Swimming,1,1,1,3
"Kosuke Kitajima",21,Japan,2004,Swimming,2,0,1,3
"Laure Manaudou",17,France,2004,Swimming,1,1,1,3
"Aaron Peirsol",21,"United States",2004,Swimming,3,0,0,3
"Kaitlin Sandeno",21,"United States",2004,Swimming,1,1,1,3
"Roland Schoeman",24,"South Africa",2004,Swimming,1,1,1,3
"Pieter van den Hoogenband",26,Netherlands,2004,Swimming,1,2,0,3
"Marian Dragulescu",23,Romania,2004,Gymnastics,0,1,2,3
"Paul Hamm",21,"United States",2004,Gymnastics,1,2,0,3
"Carly Patterson",16,"United States",2004,Gymnastics,1,2,0,3
"Catalina Ponor",16,Romania,2004,Gymnastics,3,0,0,3
"Bradley Wiggins",24,"Great Britain",2004,Cycling,1,1,1,3
"Veronica Campbell-Brown",22,Jamaica,2004,Athletics,2,0,1,3
"Justin Gatlin",22,"United States",2004,Athletics,1,1,1,3
"Zhang Yining",22,China,2004,"Table Tennis",2,0,0,2
"Fernando González",24,Chile,2004,Tennis,1,0,1,2
"Nicolás Massú",26,Chile,2004,Tennis,2,0,0,2
"Alison Bartosik",21,"United States",2004,"Synchronized Swimming",0,0,2,2
"Anastasiya Davydova",21,Russia,2004,"Synchronized Swimming",2,0,0,2
"Anna Kozlova",31,"United States",2004,"Synchronized Swimming",0,0,2,2
"Miya Tachibana",29,Japan,2004,"Synchronized Swimming",0,2,0,2
"Miho Takeda",27,Japan,2004,"Synchronized Swimming",0,2,0,2
"Anastasiya Yermakova",21,Russia,2004,"Synchronized Swimming",2,0,0,2
