athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Ole Einar Bjørndalen",28,Norway,2002,Biathlon,4,0,0,4
"Janica Kostelic",20,Croatia,2002,"Alpine Skiing",3,1,0,4
"Marc Gagnon",26,Canada,2002,"Short-Track Speed Skating",2,0,1,3
"Yang Yang (A)",25,China,2002,"Short-Track Speed Skating",2,1,0,3
"Jochem Uytdehaage",25,Netherlands,2002,"Speed Skating",2,1,0,3
"Sabine Völker",28,Germany,2002,"Speed Skating",0,2,1,3
"Felix Gottwald",26,Austria,2002,"Nordic Combined",0,0,3,3
"Samppa Lajunen",22,Finland,2002,"Nordic Combined",3,0,0,3
"Stefania Belmondo",33,Italy,2002,"Cross Country Skiing",1,1,1,3
"Yuliya Chepalova",25,Russia,2002,"Cross Country Skiing",1,1,1,3
"Frode Estil",29,Norway,2002,"Cross Country Skiing",2,1,0,3
"Bente Skari-Martinsen",29,Norway,2002,"Cross Country Skiing",1,1,1,3
"Kati Wilhelm",25,Germany,2002,Biathlon,2,1,0,3
"Stephan Eberharter",32,Austria,2002,"Alpine Skiing",1,1,1,3
"Choi Eun-Gyeong",17,"South Korea",2002,"Short-Track Speed Skating",1,1,0,2
"Go Gi-Hyeon",15,"South Korea",2002,"Short-Track Speed Skating",1,1,0,2
"Jonathan Guilmette",23,Canada,2002,"Short-Track Speed Skating",1,1,0,2
"Li Jiajun",26,China,2002,"Short-Track Speed Skating",0,1,1,2
"Apolo Anton Ohno",19,"United States",2002,"Short-Track Speed Skating",1,1,0,2
"Evgeniya Radanova",24,Bulgaria,2002,"Short-Track Speed Skating",0,1,1,2
"Mathieu Turcotte",25,Canada,2002,"Short-Track Speed Skating",1,0,1,2
"Wang Chunlu",23,China,2002,"Short-Track Speed Skating",0,1,1,2
"Yang Yang (S)",24,China,2002,"Short-Track Speed Skating",0,1,1,2
"Derek Parra",31,"United States",2002,"Speed Skating",1,1,0,2
"Claudia Pechstein",29,Germany,2002,"Speed Skating",2,0,0,2
"Jennifer Rodriguez",25,"United States",2002,"Speed Skating",0,0,2,2
"Simon Ammann",20,Switzerland,2002,"Ski Jumping",2,0,0,2
"Sven Hannawald",27,Germany,2002,"Ski Jumping",1,1,0,2
"Matti Hautamäki",20,Finland,2002,"Ski Jumping",0,1,1,2
"Adam Malysz",24,Poland,2002,"Ski Jumping",0,1,1,2
"Ronny Ackermann",24,Germany,2002,"Nordic Combined",0,2,0,2
"Jaakko Tallus",20,Finland,2002,"Nordic Combined",1,1,0,2
"Thomas Alsgaard",30,Norway,2002,"Cross Country Skiing",2,0,0,2
"Viola Bauer",25,Germany,2002,"Cross Country Skiing",1,0,1,2
"Anita Moen-Guidon",34,Norway,2002,"Cross Country Skiing",0,1,1,2
"Katerina Neumannová",28,"Czech Republic",2002,"Cross Country Skiing",0,2,0,2
"Evi Sachenbacher-Stehle",21,Germany,2002,"Cross Country Skiing",1,1,0,2
"Kristen Skjeldal",34,Norway,2002,"Cross Country Skiing",1,0,1,2
"Andrus Veerpalu",31,Estonia,2002,"Cross Country Skiing",1,1,0,2
"Cristian Zorzi",29,Italy,2002,"Cross Country Skiing",0,1,1,2
"Uschi Disl",31,Germany,2002,Biathlon,1,1,0,2
"Sven Fischer",30,Germany,2002,Biathlon,0,2,0,2
"Ricco Groß",31,Germany,2002,Biathlon,0,1,1,2
"Andrea Henkel",24,Germany,2002,Biathlon,2,0,0,2
"Frank Luck",34,Germany,2002,Biathlon,0,2,0,2
"Raphaël Poirée",27,France,2002,Biathlon,0,1,1,2
"Olga Pylyova-Medvedtseva",26,Russia,2002,Biathlon,1,0,1,2
"Liv Grete Skjelbreid-Poirée",27,Norway,2002,Biathlon,0,2,0,2
"Magdalena Wallin-Forsberg",34,Sweden,2002,Biathlon,0,0,2,2
"Kjetil André Aamodt",30,Norway,2002,"Alpine Skiing",2,0,0,2
"Renate Götschl",26,Austria,2002,"Alpine Skiing",0,1,1,2
"Lasse Kjus",31,Norway,2002,"Alpine Skiing",0,1,1,2
"Bode Miller",24,"United States",2002,"Alpine Skiing",0,2,0,2
"Anja Pärson",20,Sweden,2002,"Alpine Skiing",0,1,1,2
"Benjamin Raich",23,Austria,2002,"Alpine Skiing",0,0,2,2
"An Yulong",23,China,2002,"Short-Track Speed Skating",0,0,1,1
"Michele Antonioli",25,Italy,2002,"Short-Track Speed Skating",0,1,0,1
"Éric Bédard",25,Canada,2002,"Short-Track Speed Skating",1,0,0,1
"Steven Bradbury",28,Australia,2002,"Short-Track Speed Skating",1,0,0,1
"Maurizio Carnino",26,Italy,2002,"Short-Track Speed Skating",0,1,0,1
"Fabio Carta",24,Italy,2002,"Short-Track Speed Skating",0,1,0,1
"Isabelle Charest",31,Canada,2002,"Short-Track Speed Skating",0,0,1,1
"Choi Min-Kyung",19,"South Korea",2002,"Short-Track Speed Skating",1,0,0,1
"Marie-Eve Drolet",20,Canada,2002,"Short-Track Speed Skating",0,0,1,1
"Feng Kai",23,China,2002,"Short-Track Speed Skating",0,0,1,1
"Nicola Franceschina",24,Italy,2002,"Short-Track Speed Skating",0,1,0,1
"Amélie Goulet-Nadon",19,Canada,2002,"Short-Track Speed Skating",0,0,1,1
"Guo Wei",18,China,2002,"Short-Track Speed Skating",0,0,1,1
"Ju Min-Jin",18,"South Korea",2002,"Short-Track Speed Skating",1,0,0,1
"Alanna Kraus",24,Canada,2002,"Short-Track Speed Skating",0,0,1,1
"Li Ye",18,China,2002,"Short-Track Speed Skating",0,0,1,1
"Park Hye-Won",18,"South Korea",2002,"Short-Track Speed Skating",1,0,0,1
"Nicola Rodigari",20,Italy,2002,"Short-Track Speed Skating",0,1,0,1
"Rusty Smith",22,"United States",2002,"Short-Track Speed Skating",0,0,1,1
"Sun Dandan",23,China,2002,"Short-Track Speed Skating",0,1,0,1
"François-Louis Tremblay",21,Canada,2002,"Short-Track Speed Skating",1,0,0,1
"Tania Vicent",26,Canada,2002,"Short-Track Speed Skating",0,0,1,1
"Jens Boden",23,Germany,2002,"Speed Skating",0,0,1,1
"Jan Bos",26,Netherlands,2002,"Speed Skating",0,1,0,1
"Kip Carpenter",22,"United States",2002,"Speed Skating",0,0,1,1
"Joey Cheek",22,"United States",2002,"Speed Skating",0,0,1,1
"Casey FitzRandolph",27,"United States",2002,"Speed Skating",1,0,0,1
