athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Marit Bjørgen",29,Norway,2010,"Cross Country Skiing",3,1,1,5
"Petter Northug Jr.",24,Norway,2010,"Cross Country Skiing",2,1,1,4
"Lee Jeong-Su",20,"South Korea",2010,"Short-Track Speed Skating",2,1,0,3
"Apolo Anton Ohno",27,"United States",2010,"Short-Track Speed Skating",0,1,2,3
"Wang Meng",24,China,2010,"Short-Track Speed Skating",3,0,0,3
"Stephanie Beckert",21,Germany,2010,"Speed Skating",1,2,0,3
"Martina Sáblíková",22,"Czech Republic",2010,"Speed Skating",2,0,1,3
"Gregor Schlierenzauer",20,Austria,2010,"Ski Jumping",1,0,2,3
"Johnny Spillane",29,"United States",2010,"Nordic Combined",0,3,0,3
"Justyna Kowalczyk",27,Poland,2010,"Cross Country Skiing",1,1,1,3
"Johan Olsson",29,Sweden,2010,"Cross Country Skiing",1,0,2,3
"Magdalena Neuner",23,Germany,2010,Biathlon,2,1,0,3
"Emil Hegle Svendsen",24,Norway,2010,Biathlon,2,1,0,3
"Bode Miller",32,"United States",2010,"Alpine Skiing",1,1,1,3
"Aksel Lund Svindal",27,Norway,2010,"Alpine Skiing",1,1,1,3
"J. R. Celski",19,"United States",2010,"Short-Track Speed Skating",0,0,2,2
"Charles Hamelin",25,Canada,2010,"Short-Track Speed Skating",2,0,0,2
"Lee Ho-Seok",23,"South Korea",2010,"Short-Track Speed Skating",0,2,0,2
"Park Seung-Hui",17,"South Korea",2010,"Short-Track Speed Skating",0,0,2,2
"Katherine Reutter",21,"United States",2010,"Short-Track Speed Skating",0,1,1,2
"Seong Si-Baek",22,"South Korea",2010,"Short-Track Speed Skating",0,2,0,2
"Marianne St-Gelais",19,Canada,2010,"Short-Track Speed Skating",0,2,0,2
"François-Louis Tremblay",29,Canada,2010,"Short-Track Speed Skating",1,0,1,2
"Zhou Yang",18,China,2010,"Short-Track Speed Skating",2,0,0,2
"Shani Davis",27,"United States",2010,"Speed Skating",1,1,0,2
"Kristina Groves",33,Canada,2010,"Speed Skating",0,1,1,2
"Chad Hedrick",32,"United States",2010,"Speed Skating",0,1,1,2
"Sven Kramer",23,Netherlands,2010,"Speed Skating",1,0,1,2
"Lee Seung-Hun",21,"South Korea",2010,"Speed Skating",1,1,0,2
"Mo Tae-Beom",21,"South Korea",2010,"Speed Skating",1,1,0,2
"Ivan Skobrev",27,Russia,2010,"Speed Skating",0,1,1,2
"Mark Tuitert",29,Netherlands,2010,"Speed Skating",1,0,1,2
"Simon Ammann",28,Switzerland,2010,"Ski Jumping",2,0,0,2
"Adam Malysz",32,Poland,2010,"Ski Jumping",0,2,0,2
"Bill Demong",29,"United States",2010,"Nordic Combined",1,1,0,2
"Bernhard Gruber",27,Austria,2010,"Nordic Combined",1,0,1,2
"Lukáš Bauer",32,"Czech Republic",2010,"Cross Country Skiing",0,0,2,2
"Anna Haag",23,Sweden,2010,"Cross Country Skiing",0,2,0,2
"Marcus Hellner",24,Sweden,2010,"Cross Country Skiing",2,0,0,2
