athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Michael Phelps",27,"United States",2012,Swimming,4,2,0,6
"Alicia Coutts",24,Australia,2012,Swimming,1,3,1,5
"Missy Franklin",17,"United States",2012,Swimming,4,0,1,5
"Ryan Lochte",27,"United States",2012,Swimming,2,2,1,5
"Allison Schmitt",22,"United States",2012,Swimming,3,1,1,5
"Sun Yang",20,China,2012,Swimming,2,1,1,4
"Aliya Mustafina",17,Russia,2012,Gymnastics,1,1,2,4
"Nathan Adrian",23,"United States",2012,Swimming,2,1,0,3
"Yannick Agnel",20,France,2012,Swimming,2,1,0,3
"Brittany Elmslie",18,Australia,2012,Swimming,1,2,0,3
"Matt Grevers",27,"United States",2012,Swimming,2,1,0,3
"Ryosuke Irie",22,Japan,2012,Swimming,0,2,1,3
"Cullen Jones",28,"United States",2012,Swimming,1,2,0,3
"Ranomi Kromowidjojo",21,Netherlands,2012,Swimming,2,1,0,3
"Camille Muffat",22,France,2012,Swimming,1,1,1,3
"Mel Schlanger",25,Australia,2012,Swimming,1,2,0,3
"Emily Seebohm",20,Australia,2012,Swimming,1,2,0,3
"Rebecca Soni",25,"United States",2012,Swimming,2,1,0,3
"Satomi Suzuki",21,Japan,2012,Swimming,0,1,2,3
"Dana Vollmer",24,"United States",2012,Swimming,3,0,0,3
"Aly Raisman",18,"United States",2012,Gymnastics,2,0,1,3
"Kohei Uchimura",23,Japan,2012,Gymnastics,1,2,0,3
"Zou Kai",24,China,2012,Gymnastics,2,0,1,3
"Guo Shuang",26,China,2012,Cycling,0,2,1,3
"Yohan Blake",22,Jamaica,2012,Athletics,1,2,0,3
"Usain Bolt",25,Jamaica,2012,Athletics,3,0,0,3
"Allyson Felix",26,"United States",2012,Athletics,3,0,0,3
"Shelly-Ann Fraser-Pryce",25,Jamaica,2012,Athletics,1,2,0,3
"Carmelita Jeter",32,"United States",2012,Athletics,1,1,1,3
"Ding Ning",22,China,2012,"Table Tennis",1,1,0,2
"Feng Tian Wei",25,Singapore,2012,"Table Tennis",0,0,2,2
"Li Xiaoxia",24,China,2012,"Table Tennis",2,0,0,2
"Dmitrij Ovtcharov",23,Germany,2012,"Table Tennis",0,0,2,2
"Wang Hao",28,China,2012,"Table Tennis",1,1,0,2
"Zhang Jike",24,China,2012,"Table Tennis",2,0,0,2
"Viktoriya Azarenko",22,Belarus,2012,Tennis,1,0,1,2
"Mike Bryan",34,"United States",2012,Tennis,1,0,1,2
"Andy Murray",25,"Great Britain",2012,Tennis,1,1,0,2
"Serena Williams",30,"United States",2012,Tennis,2,0,0,2
"Ona Carbonell",22,Spain,2012,"Synchronized Swimming",0,1,1,2
"Andrea Fuentes",29,Spain,2012,"Synchronized Swimming",0,1,1,2
"Huang Xuechen",22,China,2012,"Synchronized Swimming",0,1,1,2
"Nataliya Ishchenko",26,Russia,2012,"Synchronized Swimming",2,0,0,2
"Liu Ou",25,China,2012,"Synchronized Swimming",0,1,1,2
"Svetlana Romashina",22,Russia,2012,"Synchronized Swimming",2,0,0,2
"Becky Adlington",23,"Great Britain",2012,Swimming,0,0,2,2
"Bronte Barratt",23,Australia,2012,Swimming,0,1,1,2
"Elizabeth Beisel",19,"United States",2012,Swimming,0,1,1,2
"Mireia Belmonte",21,Spain,2012,Swimming,0,2,0,2
"Ricky Berens",24,"United States",2012,Swimming,1,1,0,2
"Aleksandra Gerasimenya",26,Belarus,2012,Swimming,0,2,0,2
"Brendan Hansen",30,"United States",2012,Swimming,1,0,1,2
"Jessica Hardy",25,"United States",2012,Swimming,1,0,1,2
"Chad le Clos",20,"South Africa",2012,Swimming,1,1,0,2
"Clément Lefert",24,France,2012,Swimming,1,1,0,2
"Amaury Leveaux",26,France,2012,Swimming,1,1,0,2
"James Magnussen",21,Australia,2012,Swimming,0,1,1,2
"Takeshi Matsuda",28,Japan,2012,Swimming,0,1,1,2
"Oussama Mellouli",28,Tunisia,2012,Swimming,1,0,1,2
"Park Tae-Hwan",22,"South Korea",2012,Swimming,0,2,0,2
"Christian Sprenger",26,Australia,2012,Swimming,0,1,1,2
"Jeremy Stravius",24,France,2012,Swimming,1,1,0,2
"Aya Terakawa",27,Japan,2012,Swimming,0,0,2,2
"Nick Thoman",26,"United States",2012,Swimming,1,1,0,2
"Marleen Veldhuis",33,Netherlands,2012,Swimming,0,1,1,2
"Ye Shiwen",16,China,2012,Swimming,2,0,0,2
"Niccolò Campriani",24,Italy,2012,Shooting,1,1,0,2
"Jin Jong-O",32,"South Korea",2012,Shooting,2,0,0,2
"Olena Kostevych",27,Ukraine,2012,Shooting,0,0,2,2
"Kim Crow",26,Australia,2012,Rowing,0,1,1,2
"Denis Ablyazin",19,Russia,2012,Gymnastics,0,1,1,2
"Chen Yibing",27,China,2012,Gymnastics,1,1,0,2
"Gabby Douglas",16,"United States",2012,Gymnastics,2,0,0,2
"Feng Zhe",24,China,2012,Gymnastics,2,0,0,2
"Sandra Izbasa",22,Romania,2012,Gymnastics,1,0,1,2
"Viktoriya Komova",17,Russia,2012,Gymnastics,0,2,0,2
"McKayla Maroney",16,"United States",2012,Gymnastics,1,1,0,2
"Marcel Nguyen",24,Germany,2012,Gymnastics,0,2,0,2
"Mariya Paseka",17,Russia,2012,Gymnastics,0,1,1,2
"Catalina Ponor",24,Romania,2012,Gymnastics,0,1,1,2
"Louis Smith",23,"Great Britain",2012,Gymnastics,0,1,1,2
"Max Whitlock",19,"Great Britain",2012,Gymnastics,0,0,2,2
"Elisa Di Francisca",29,Italy,2012,Fencing,2,0,0,2
"Arianna Errigo",24,Italy,2012,Fencing,1,1,0,2
"Diego Occhiuzzi",31,Italy,2012,Fencing,0,1,1,2
"Sun Yujie",19,China,2012,Fencing,1,0,1,2
"Valentina Vezzali",38,Italy,2012,Fencing,1,0,1,2
"Sandra Auffarth",25,Germany,2012,Equestrian,1,0,1,2
"Laura Bechtolsheimer",27,"Great Britain",2012,Equestrian,1,0,1,2
"Adelinde Cornelissen",33,Netherlands,2012,Equestrian,0,1,1,2
"Charlotte Dujardin",27,"Great Britain",2012,Equestrian,2,0,0,2
"Michael Jung",29,Germany,2012,Equestrian,2,0,0,2
"Gerco Schröder",34,Netherlands,2012,Equestrian,0,2,0,2
"David Boudia",23,"United States",2012,Diving,1,0,1,2
"Chen Ruolin",19,China,2012,Diving,2,0,0,2
"He Zi",21,China,2012,Diving,1,1,0,2
"Qin Kai",26,China,2012,Diving,1,1,0,2
"Wu Minxia",26,China,2012,Diving,2,0,0,2
"Ilya Zakharov",21,Russia,2012,Diving,1,1,0,2
"Grégory Baugé",27,France,2012,Cycling,0,2,0,2
"Ed Clancy",27,"Great Britain",2012,Cycling,1,0,1,2
"Sarah Hammer",28,"United States",2012,Cycling,0,2,0,2
"Chris Hoy",36,"Great Britain",2012,Cycling,2,0,0,2
"Jason Kenny",24,"Great Britain",2012,Cycling,2,0,0,2
"Maximilian Levy",25,Germany,2012,Cycling,0,1,1,2
"Anna Meares",28,Australia,2012,Cycling,1,0,1,2
"Vicki Pendleton",31,"Great Britain",2012,Cycling,1,1,0,2
"Laura Trott",20,"Great Britain",2012,Cycling,2,0,0,2
"Olga Zabelinskaya",32,Russia,2012,Cycling,0,0,2,2
"Tina Dietze",24,Germany,2012,Canoeing,1,1,0,2
"Natasa Douchev-Janics",30,Hungary,2012,Canoeing,0,1,1,2
"Katalin Kovács",36,Hungary,2012,Canoeing,1,1,0,2
"Danuta Kozák",25,Hungary,2012,Canoeing,2,0,0,2
"Inna Osypenko-Radomska",29,Ukraine,2012,Canoeing,0,2,0,2
"Franziska Weber",23,Germany,2012,Canoeing,1,1,0,2
"Zhao Yunlei",25,China,2012,Badminton,2,0,0,2
"Nataliya Antyukh",31,Russia,2012,Athletics,1,1,0,2
