athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Veronica Campbell-Brown",30,Jamaica,2012,Athletics,0,1,1,2
"Vivian Cheruiyot",28,Kenya,2012,Athletics,0,1,1,2
"Will Claye",21,"United States",2012,Athletics,0,1,1,2
"Tirunesh Dibaba",27,Ethiopia,2012,Athletics,1,0,1,2
"Mo Farah",29,"Great Britain",2012,Athletics,2,0,0,2
"Justin Gatlin",30,"United States",2012,Athletics,0,1,1,2
"Lalonde Gordon",23,"Trinidad and Tobago",2012,Athletics,0,0,2,2
"Sanya Richards-Ross",27,"United States",2012,Athletics,2,0,0,2
"DeeDee Trotter",29,"United States",2012,Athletics,1,0,1,2
"Ki Bo-Bae",24,"South Korea",2012,Archery,2,0,0,2
"Oh Jin-Hyek",30,"South Korea",2012,Archery,1,0,1,2
"Artur Aleksanyan",20,Armenia,2012,Wrestling,0,0,1,1
"Valeriy Andriitsev",25,Ukraine,2012,Wrestling,0,1,0,1
"Rövs?n Bayramov",25,Azerbaijan,2012,Wrestling,0,1,0,1
"Jordan Burroughs",24,"United States",2012,Wrestling,1,0,0,1
"Clarissa Chun",30,"United States",2012,Wrestling,0,0,1,1
"Yogeshwar Dutt",29,India,2012,Wrestling,0,0,1,1
"Jaime Espinal",27,"Puerto Rico",2012,Wrestling,0,1,0,1
"Johan Eurén",27,Sweden,2012,Wrestling,0,0,1,1
"Karam Gaber",32,Egypt,2012,Wrestling,0,1,0,1
"Daniyal Gadzhiyev",26,Kazakhstan,2012,Wrestling,0,0,1,1
"Komeil Ghasemi",24,Iran,2012,Wrestling,0,0,1,1
"Giorgi Gogshelidze",32,Georgia,2012,Wrestling,0,0,1,1
"Sadegh Goudarzi",24,Iran,2012,Wrestling,0,1,0,1
"Steeve Guénot",26,France,2012,Wrestling,0,0,1,1
"Carol Huynh",31,Canada,2012,Wrestling,0,0,1,1
"Kaori Icho",28,Japan,2012,Wrestling,1,0,0,1
"Damian Janikowski",23,Poland,2012,Wrestling,0,0,1,1
"Jing Ruixue",24,China,2012,Wrestling,0,1,0,1
"Arsen Julfalakyan",25,Armenia,2012,Wrestling,0,1,0,1
"Riza Kayaalp",22,Turkey,2012,Wrestling,0,0,1,1
"Aleksandras Kazakevicius",26,Lithuania,2012,Wrestling,0,0,1,1
"Vladimer Khinchegashvili",21,Georgia,2012,Wrestling,0,1,0,1
"Alan Khugayev",23,Russia,2012,Wrestling,1,0,0,1
"Kim Hyeon-Wu",23,"South Korea",2012,Wrestling,1,0,0,1
"Besik Kudukhov",25,Russia,2012,Wrestling,0,1,0,1
"Sushil Kumar",29,India,2012,Wrestling,0,1,0,1
"Zaur Kuramagomedov",24,Russia,2012,Wrestling,0,0,1,1
"Ehsan Naser Lashgari",26,Iran,2012,Wrestling,0,0,1,1
"Revaz Lashkhi",24,Georgia,2012,Wrestling,0,1,0,1
"Jimmy Lidberg",30,Sweden,2012,Wrestling,0,0,1,1
"Liván López",30,Cuba,2012,Wrestling,0,0,1,1
"Mijaín López",29,Cuba,2012,Wrestling,1,0,0,1
"Tamás Lorincz",25,Hungary,2012,Wrestling,0,1,0,1
"Bilyal Makhov",24,Russia,2012,Wrestling,0,0,1,1
"Gyuzel Manyurova",34,Kazakhstan,2012,Wrestling,0,0,1,1
"Dato Marsagishvili",21,Georgia,2012,Wrestling,0,0,1,1
"Ryutaro Matsumoto",26,Japan,2012,Wrestling,0,0,1,1
"Péter Módos",24,Hungary,2012,Wrestling,0,0,1,1
"Davit Modzmanashvili",25,Georgia,2012,Wrestling,0,1,0,1
"Heiki Nabi",27,Estonia,2012,Wrestling,0,1,0,1
"Omid Noroozi",26,Iran,2012,Wrestling,1,0,0,1
"Hitomi Obara",31,Japan,2012,Wrestling,1,0,0,1
"Dzhamal Otarsultanov",25,Russia,2012,Wrestling,1,0,0,1
"Xetaq Qazyumov",29,Azerbaijan,2012,Wrestling,0,0,1,1
"Yuliya Ratkeviç",27,Azerbaijan,2012,Wrestling,0,0,1,1
"Jackeline Rentería",26,Colombia,2012,Wrestling,0,0,1,1
"Ghasem Rezaei",26,Iran,2012,Wrestling,1,0,0,1
"Coleman Scott",26,"United States",2012,Wrestling,0,0,1,1
"Mingiyan Semyonov",22,Russia,2012,Wrestling,0,0,1,1
"Soronzonboldyn Battsetseg",22,Mongolia,2012,Wrestling,0,0,1,1
"Hamid Soryan",26,Iran,2012,Wrestling,1,0,0,1
"Mariya Stadnik",24,Azerbaijan,2012,Wrestling,0,1,0,1
"S?rif S?rifov",23,Azerbaijan,2012,Wrestling,1,0,0,1
"Akzhurek Tanatarov",25,Kazakhstan,2012,Wrestling,0,0,1,1
"Artur Taymazov",33,Uzbekistan,2012,Wrestling,1,0,0,1
"Soslan Tigiyev",28,Uzbekistan,2012,Wrestling,0,0,1,1
"Rustam Totrov",28,Russia,2012,Wrestling,0,1,0,1
"Denis Tsargush",24,Russia,2012,Wrestling,0,0,1,1
"Manuchar Tskhadaia",27,Georgia,2012,Wrestling,0,0,1,1
"Maider Unda",35,Spain,2012,Wrestling,0,0,1,1
"Jake Varner",26,"United States",2012,Wrestling,1,0,0,1
"Tonya Verbeek",34,Canada,2012,Wrestling,0,1,0,1
"Roman Vlasov",21,Russia,2012,Wrestling,1,0,0,1
"Lyubov Volosova",29,Russia,2012,Wrestling,0,0,1,1
"Nataliya Vorobyova",21,Russia,2012,Wrestling,1,0,0,1
"Yang Kyong-Il",23,"North Korea",2012,Wrestling,0,0,1,1
"Tatsuhiro Yonemitsu",26,Japan,2012,Wrestling,1,0,0,1
"Saori Yoshida",29,Japan,2012,Wrestling,1,0,0,1
"Shinichi Yumoto",27,Japan,2012,Wrestling,0,0,1,1
"Stanka Zlateva",29,Bulgaria,2012,Wrestling,0,1,0,1
"Emin ?hm?dov",25,Azerbaijan,2012,Wrestling,0,0,1,1
"Togrul ?sg?rov",19,Azerbaijan,2012,Wrestling,1,0,0,1
"Ruslan Albegov",24,Russia,2012,Weightlifting,0,0,1,1
"Sajjad Anoushiravani",28,Iran,2012,Weightlifting,0,1,0,1
"Apti Aukhadov",19,Russia,2012,Weightlifting,0,1,0,1
"Bartlomiej Bonk",27,Poland,2012,Weightlifting,0,0,1,1
"Iván Cambar",28,Cuba,2012,Weightlifting,0,0,1,1
"Zulfiya Chinshanlo",19,Kazakhstan,2012,Weightlifting,1,0,0,1
"Anatolii Cîrîcu",23,Moldova,2012,Weightlifting,0,0,1,1
"Roxana Cocos",23,Romania,2012,Weightlifting,0,1,0,1
"Oscar Figueroa",29,Colombia,2012,Weightlifting,0,1,0,1
"Christine Girard",27,Canada,2012,Weightlifting,0,0,1,1
"Hsu Shu-Ching",21,"Chinese Taipei",2012,Weightlifting,0,1,0,1
"Ilya Ilyin",24,Kazakhstan,2012,Weightlifting,1,0,0,1
"Cristina Iovu",19,Moldova,2012,Weightlifting,0,0,1,1
"Eko Irawan",23,Indonesia,2012,Weightlifting,0,0,1,1
"Aleksandr Ivanov",23,Russia,2012,Weightlifting,0,1,0,1
"Yuliya Kalina",23,Ukraine,2012,Weightlifting,0,0,1,1
"Tatyana Kashirina",21,Russia,2012,Weightlifting,0,1,0,1
"Hripsime Khurshudyan",25,Armenia,2012,Weightlifting,0,0,1,1
"Kim Un-Guk",23,"North Korea",2012,Weightlifting,1,0,0,1
"Irina Kulesha",26,Belarus,2012,Weightlifting,0,0,1,1
"Li Xueying",22,China,2012,Weightlifting,1,0,0,1
"Lin Qingfeng",23,China,2012,Weightlifting,1,0,0,1
"Lu Haojie",21,China,2012,Weightlifting,0,1,0,1
"Lu Xiaojun",28,China,2012,Weightlifting,1,0,0,1
"Maiya Maneza",26,Kazakhstan,2012,Weightlifting,1,0,0,1
"Razvan Martin",20,Romania,2012,Weightlifting,0,0,1,1
"Hiromi Miyake",26,Japan,2012,Weightlifting,0,1,0,1
"Navab Nasirshelal",23,Iran,2012,Weightlifting,0,1,0,1
"Om Yun-Chol",20,"North Korea",2012,Weightlifting,1,0,0,1
"Svetlana Podobedova",26,Kazakhstan,2012,Weightlifting,1,0,0,1
"Rim Jong-Sim",19,"North Korea",2012,Weightlifting,1,0,0,1
"Kianoush Rostami",21,Iran,2012,Weightlifting,0,0,1,1
"Ryang Chun-Hwa",21,"North Korea",2012,Weightlifting,0,0,1,1
"Behdad Salimi",22,Iran,2012,Weightlifting,1,0,0,1
"Marina Shkermankova",22,Belarus,2012,Weightlifting,0,0,1,1
"Pimsiri Sirikaew",22,Thailand,2012,Weightlifting,0,1,0,1
"Oleksiy Torokhtiy",26,Ukraine,2012,Weightlifting,1,0,0,1
Triyatno,24,Indonesia,2012,Weightlifting,0,1,0,1
"Svetlana Tsarukayeva",24,Russia,2012,Weightlifting,0,1,0,1
"Wang Mingjuan",26,China,2012,Weightlifting,1,0,0,1
"Wu Jingbiao",23,China,2012,Weightlifting,0,1,0,1
"Valentin Xristov",18,Azerbaijan,2012,Weightlifting,0,0,1,1
"Nataliya Zabolotnaya",26,Russia,2012,Weightlifting,0,1,0,1
"Zhou Lulu",24,China,2012,Weightlifting,1,0,0,1
"Adrian Zielinski",23,Poland,2012,Weightlifting,1,0,0,1
"Matteo Aicardi",26,Italy,2012,Waterpolo,0,1,0,1
"Milan Aleksic",26,Serbia,2012,Waterpolo,0,0,1,1
"Betsey Armstrong",29,"United States",2012,Waterpolo,1,0,0,1
"Marta Bach",19,Spain,2012,Waterpolo,0,1,0,1
"Samir Barac",38,Croatia,2012,Waterpolo,1,0,0,1
"Gemma Beadsworth",25,Australia,2012,Waterpolo,0,0,1,1
"Andrea Blas",20,Spain,2012,Waterpolo,0,1,0,1
"Miho Boškovic",29,Croatia,2012,Waterpolo,1,0,0,1
"Victoria Brown",27,Australia,2012,Waterpolo,0,0,1,1
"Ivan Buljubašic",24,Croatia,2012,Waterpolo,1,0,0,1
"Damir Buric",31,Croatia,2012,Waterpolo,1,0,0,1
"Andro Bušlje",26,Croatia,2012,Waterpolo,1,0,0,1
"Kami Craig",25,"United States",2012,Waterpolo,1,0,0,1
"Nikša Dobud",26,Croatia,2012,Waterpolo,1,0,0,1
"Annika Dries",20,"United States",2012,Waterpolo,1,0,0,1
"Anna Espar",19,Spain,2012,Waterpolo,0,1,0,1
"Laura Ester",22,Spain,2012,Waterpolo,0,1,0,1
"Maurizio Felugo",31,Italy,2012,Waterpolo,0,1,0,1
"Pietro Figlioli",28,Italy,2012,Waterpolo,0,1,0,1
"Filip Filipovic",25,Serbia,2012,Waterpolo,0,0,1,1
"Deni Fiorentini",28,Italy,2012,Waterpolo,0,1,0,1
"Valentino Gallo",27,Italy,2012,Waterpolo,0,1,0,1
"Maica García",21,Spain,2012,Waterpolo,0,1,0,1
"Massimo Giacoppo",29,Italy,2012,Waterpolo,0,1,0,1
"Alex Giorgetti",24,Italy,2012,Waterpolo,0,1,0,1
"Niccolò Gitto",25,Italy,2012,Waterpolo,0,1,0,1
"Živko Gocic",29,Serbia,2012,Waterpolo,0,0,1,1
"Kate Gynther",30,Australia,2012,Waterpolo,0,0,1,1
"Igor Hinic",36,Croatia,2012,Waterpolo,1,0,0,1
"Maro Jokovic",24,Croatia,2012,Waterpolo,1,0,0,1
"Bronwen Knox",26,Australia,2012,Waterpolo,0,0,1,1
"Holly Lincoln-Smith",24,Australia,2012,Waterpolo,0,0,1,1
"Laura López",24,Spain,2012,Waterpolo,0,1,0,1
"Dušan Mandic",18,Serbia,2012,Waterpolo,0,0,1,1
"Courtney Mathewson",25,"United States",2012,Waterpolo,1,0,0,1
"Alicia McCormack",29,Australia,2012,Waterpolo,0,0,1,1
"Ona Meseguer",24,Spain,2012,Waterpolo,0,1,0,1
"Lorena Miranda",21,Spain,2012,Waterpolo,0,1,0,1
"Stefan Mitrovic",24,Serbia,2012,Waterpolo,0,0,1,1
"Jane Moran",27,Australia,2012,Waterpolo,0,0,1,1
"Petar Muslim",24,Croatia,2012,Waterpolo,1,0,0,1
"Slobodan Nikic",29,Serbia,2012,Waterpolo,0,0,1,1
"Paulo Obradovic",26,Croatia,2012,Waterpolo,1,0,0,1
"Mati Ortíz",21,Spain,2012,Waterpolo,0,1,0,1
"Jenny Pareja",28,Spain,2012,Waterpolo,0,1,0,1
"Giacomo Pastorino",32,Italy,2012,Waterpolo,0,1,0,1
"Josip Pavic",30,Croatia,2012,Waterpolo,1,0,0,1
"Pilar Peña",26,Spain,2012,Waterpolo,0,1,0,1
"Amaurys Perez",36,Italy,2012,Waterpolo,0,1,0,1
"Heather Petri",34,"United States",2012,Waterpolo,1,0,0,1
"Duško Pijetlovic",27,Serbia,2012,Waterpolo,0,0,1,1
"Gojko Pijetlovic",28,Serbia,2012,Waterpolo,0,0,1,1
"Danijel Premuš",31,Italy,2012,Waterpolo,0,1,0,1
"Christian Presciutti",29,Italy,2012,Waterpolo,0,1,0,1
"Andrija Prlainovic",25,Serbia,2012,Waterpolo,0,0,1,1
"Glencora Ralph",24,Australia,2012,Waterpolo,0,0,1,1
"Nikola Raden",27,Serbia,2012,Waterpolo,0,0,1,1
"Mel Rippon",31,Australia,2012,Waterpolo,0,0,1,1
"Kelly Rulon",28,"United States",2012,Waterpolo,1,0,0,1
"Aleksa Šaponjic",20,Serbia,2012,Waterpolo,0,0,1,1
"Melissa Seidemann",22,"United States",2012,Waterpolo,1,0,0,1
"Sophie Smith",26,Australia,2012,Waterpolo,0,0,1,1
"Slobodan Soro",33,Serbia,2012,Waterpolo,0,0,1,1
"Ash Southern",19,Australia,2012,Waterpolo,0,0,1,1
"Jessica Steffens",25,"United States",2012,Waterpolo,1,0,0,1
"Maggie Steffens",19,"United States",2012,Waterpolo,1,0,0,1
"Sandro Sukno",22,Croatia,2012,Waterpolo,1,0,0,1
"Roser Tarragó",19,Spain,2012,Waterpolo,0,1,0,1
"Stefano Tempesti",33,Italy,2012,Waterpolo,0,1,0,1
"Vanja Udovicic",29,Serbia,2012,Waterpolo,0,0,1,1
"Frano Vican",36,Croatia,2012,Waterpolo,1,0,0,1
"Brenda Villa",32,"United States",2012,Waterpolo,1,0,0,1
"Rowie Webster",24,Australia,2012,Waterpolo,0,0,1,1
"Lauren Wenger",28,"United States",2012,Waterpolo,1,0,0,1
"Elsie Windes",27,"United States",2012,Waterpolo,1,0,0,1
"Nicola Zagame",22,Australia,2012,Waterpolo,0,0,1,1
,0,Brazil,2012,Volleyball,0,1,0,1
,0,Brazil,2012,Volleyball,0,1,0,1
,0,Brazil,2012,Volleyball,0,1,0,1
"Foluke Akinradewo",24,"United States",2012,Volleyball,0,1,0,1
"Thiago Alves",26,Brazil,2012,Volleyball,0,1,0,1
"Nikolay Apalikov",29,Russia,2012,Volleyball,1,0,0,1
"Erika Araki",27,Japan,2012,Volleyball,0,0,1,1
"Andrea Bari",32,Italy,2012,Volleyball,0,0,1,1
"Yury Berezhko",28,Russia,2012,Volleyball,1,0,0,1
"Lindsey Berg",32,"United States",2012,Volleyball,0,1,0,1
"Emanuele Birarelli",31,Italy,2012,Volleyball,0,0,1,1
"Dante Boninfante",35,Italy,2012,Volleyball,0,0,1,1
"Aleksandr Butko",26,Russia,2012,Volleyball,1,0,0,1
"Tandara Caixeta",23,Brazil,2012,Volleyball,1,0,0,1
"Adenízia da Silva",25,Brazil,2012,Volleyball,1,0,0,1
Dante,31,Brazil,2012,Volleyball,0,1,0,1
"Nicole Davis",30,"United States",2012,Volleyball,0,1,0,1
"Wallace de Souza",25,Brazil,2012,Volleyball,0,1,0,1
"Yukiko Ebata",22,Japan,2012,Volleyball,0,0,1,1
Fabi,32,Brazil,2012,Volleyball,1,0,0,1
Fabiana,27,Brazil,2012,Volleyball,1,0,0,1
"Alessandro Fei",33,Italy,2012,Volleyball,0,0,1,1
Fernandinha,32,Brazil,2012,Volleyball,1,0,0,1
Giba,35,Brazil,2012,Volleyball,0,1,0,1
"Andrea Giovi",28,Italy,2012,Volleyball,0,0,1,1
"Sergey Grankin",27,Russia,2012,Volleyball,1,0,0,1
"Tayyiba Haneef-Park",33,"United States",2012,Volleyball,0,1,0,1
"Christa Harmotto",25,"United States",2012,Volleyball,0,1,0,1
"Megan Hodge",23,"United States",2012,Volleyball,0,1,0,1
"Destinee Hooker",24,"United States",2012,Volleyball,0,1,0,1
"Dmitry Ilyinykh",25,Russia,2012,Volleyball,1,0,0,1
"Kaori Inoue",29,Japan,2012,Volleyball,0,0,1,1
"Pereira de Carvalho Endres Jaque",28,Brazil,2012,Volleyball,1,0,0,1
"Maiko Kano",24,Japan,2012,Volleyball,0,0,1,1
"Taras Khtey",30,Russia,2012,Volleyball,1,0,0,1
"Saori Kimura",25,Japan,2012,Volleyball,0,0,1,1
"Jordan Larson",25,"United States",2012,Volleyball,0,1,0,1
"Michal Lasko",31,Italy,2012,Volleyball,0,0,1,1
"Dani Lins",27,Brazil,2012,Volleyball,1,0,0,1
"Luigi Mastrangelo",36,Italy,2012,Volleyball,0,0,1,1
"Maksim Mikhaylov",24,Russia,2012,Volleyball,1,0,0,1
"Tamari Miyashiro",25,"United States",2012,Volleyball,0,1,0,1
Murilo,31,Brazil,2012,Volleyball,0,1,0,1
"Dmitry Musersky",23,Russia,2012,Volleyball,1,0,0,1
"Hitomi Nakamichi",26,Japan,2012,Volleyball,0,0,1,1
"Leandro Neves",29,Brazil,2012,Volleyball,0,1,0,1
"Aleksey Obmochayev",23,Russia,2012,Volleyball,1,0,0,1
"Ai Otomo-Yamamoto",30,Japan,2012,Volleyball,0,0,1,1
"Samuele Papi",39,Italy,2012,Volleyball,0,0,1,1
"Simone Parodi",26,Italy,2012,Volleyball,0,0,1,1
Paula,30,Brazil,2012,Volleyball,1,0,0,1
"Natália Pereira",23,Brazil,2012,Volleyball,1,0,0,1
Rodrigão,33,Brazil,2012,Volleyball,0,1,0,1
"Fernanda Rodrigues",26,Brazil,2012,Volleyball,1,0,0,1
"Lucas Saatkamp",26,Brazil,2012,Volleyball,0,1,0,1
"Saori Sakoda",24,Japan,2012,Volleyball,0,0,1,1
"Yuko Sano",33,Japan,2012,Volleyball,0,0,1,1
"Cristian Savani",30,Italy,2012,Volleyball,0,0,1,1
"Danielle Scott-Arruda",39,"United States",2012,Volleyball,0,1,0,1
Sheilla,29,Brazil,2012,Volleyball,1,0,0,1
"Risa Shinnabe",22,Japan,2012,Volleyball,0,0,1,1
Sidão,30,Brazil,2012,Volleyball,0,1,0,1
"Aleksandr Sokolov",30,Russia,2012,Volleyball,1,0,0,1
"Yoshie Takeshita",34,Japan,2012,Volleyball,0,0,1,1
"Sergey Tetyukhin",36,Russia,2012,Volleyball,1,0,0,1
Thaísa,25,Brazil,2012,Volleyball,1,0,0,1
"Courtney Thompson",27,"United States",2012,Volleyball,0,1,0,1
"Logan Tom",31,"United States",2012,Volleyball,0,1,0,1
"Dragan Travica",25,Italy,2012,Volleyball,0,0,1,1
"Aleksandr Volkov",27,Russia,2012,Volleyball,1,0,0,1
"Mai Yamaguchi",29,Japan,2012,Volleyball,0,0,1,1
"Ivan Zaytsev",23,Italy,2012,Volleyball,0,0,1,1
"Timo Boll",31,Germany,2012,"Table Tennis",0,0,1,1
"Ai Fukuhara",23,Japan,2012,"Table Tennis",0,1,0,1
"Guo Yue",24,China,2012,"Table Tennis",1,0,0,1
"Sayaka Hirano",27,Japan,2012,"Table Tennis",0,1,0,1
"Kasumi Ishikawa",19,Japan,2012,"Table Tennis",0,1,0,1
"Ju Se-Hyeok",32,"South Korea",2012,"Table Tennis",0,1,0,1
"Li Jia Wei",30,Singapore,2012,"Table Tennis",0,0,1,1
"Ma Long",23,China,2012,"Table Tennis",1,0,0,1
"O Sang-Eun",35,"South Korea",2012,"Table Tennis",0,1,0,1
"Bastian Steger",31,Germany,2012,"Table Tennis",0,0,1,1
"Wang Jue Gu",32,Singapore,2012,"Table Tennis",0,0,1,1
"Yu Seung-Min",29,"South Korea",2012,"Table Tennis",0,1,0,1
"Alistair Brownlee",24,"Great Britain",2012,Triathlon,1,0,0,1
