athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Cindy Klassen",26,Canada,2006,"Speed Skating",1,2,2,5
"An Hyeon-Su",20,"South Korea",2006,"Short-Track Speed Skating",3,0,1,4
"Jin Seon-Yu",17,"South Korea",2006,"Short-Track Speed Skating",3,0,0,3
"Lee Ho-Seok",19,"South Korea",2006,"Short-Track Speed Skating",1,2,0,3
"Apolo Anton Ohno",23,"United States",2006,"Short-Track Speed Skating",1,0,2,3
"Wang Meng",20,China,2006,"Short-Track Speed Skating",1,1,1,3
"Enrico Fabris",24,Italy,2006,"Speed Skating",2,0,1,3
"Chad Hedrick",28,"United States",2006,"Speed Skating",1,1,1,3
"Lars Bystøl",27,Norway,2006,"Ski Jumping",1,0,2,3
"Felix Gottwald",30,Austria,2006,"Nordic Combined",2,1,0,3
"Georg Hettich",27,Germany,2006,"Nordic Combined",1,1,1,3
"Albina Akhatova",29,Russia,2006,Biathlon,1,0,2,3
"Ole Einar Bjørndalen",32,Norway,2006,Biathlon,0,2,1,3
"Sven Fischer",34,Germany,2006,Biathlon,2,0,1,3
"Martina Glagow-Beck",26,Germany,2006,Biathlon,0,3,0,3
"Michael Greis",29,Germany,2006,Biathlon,3,0,0,3
"Kati Wilhelm",29,Germany,2006,Biathlon,1,2,0,3
"Anja Pärson",24,Sweden,2006,"Alpine Skiing",1,0,2,3
"Choi Eun-Gyeong",21,"South Korea",2006,"Short-Track Speed Skating",1,1,0,2
"Anouk Leblanc-Boucher",21,Canada,2006,"Short-Track Speed Skating",0,1,1,2
"François-Louis Tremblay",25,Canada,2006,"Short-Track Speed Skating",0,2,0,2
"Joey Cheek",26,"United States",2006,"Speed Skating",1,1,0,2
"Shani Davis",23,"United States",2006,"Speed Skating",1,1,0,2
"Anni Friesinger-Postma",29,Germany,2006,"Speed Skating",1,0,1,2
"Kristina Groves",29,Canada,2006,"Speed Skating",0,2,0,2
"Clara Hughes",33,Canada,2006,"Speed Skating",1,1,0,2
"Sven Kramer",19,Netherlands,2006,"Speed Skating",0,1,1,2
"Claudia Pechstein",33,Germany,2006,"Speed Skating",1,1,0,2
"Carl Verheijen",30,Netherlands,2006,"Speed Skating",0,0,2,2
"Erben Wennemars",30,Netherlands,2006,"Speed Skating",0,0,2,2
"Ireen Wüst",19,Netherlands,2006,"Speed Skating",1,0,1,2
"Matti Hautamäki",24,Finland,2006,"Ski Jumping",0,2,0,2
"Andreas Kofler",21,Austria,2006,"Ski Jumping",1,1,0,2
"Roar Ljøkelsøy",29,Norway,2006,"Ski Jumping",0,0,2,2
"Thomas Morgenstern",19,Austria,2006,"Ski Jumping",2,0,0,2
"Magnus Moan",22,Norway,2006,"Nordic Combined",0,1,1,2
"Tobias Angerer",28,Germany,2006,"Cross Country Skiing",0,1,1,2
"Yuliya Chepalova",29,Russia,2006,"Cross Country Skiing",1,1,0,2
"Yevgeny Dementyev",23,Russia,2006,"Cross Country Skiing",1,1,0,2
"Giorgio Di Centa",33,Italy,2006,"Cross Country Skiing",2,0,0,2
"Thobias Fredriksson",30,Sweden,2006,"Cross Country Skiing",1,0,1,2
"Claudia Künzel-Nystad",28,Germany,2006,"Cross Country Skiing",0,2,0,2
"Björn Lind",27,Sweden,2006,"Cross Country Skiing",2,0,0,2
"Yevgeniya Medvedeva",29,Russia,2006,"Cross Country Skiing",1,0,1,2
"Katerina Neumannová",32,"Czech Republic",2006,"Cross Country Skiing",1,1,0,2
